Word,PartOfSpeech,Length,NumMeaning,Meaning1,Meaning2,Meaning3
ace,Adjective,3,1,of the highest quality,,
car,Noun,3,3,a motor vehicle with four wheels; usually propelled by an internal combustion engine,a wheeled vehicle adapted to the rails of railroad,the compartment that is suspended from an airship and that carries personnel and the cargo and the power plant
ere,Unknown,3,1,,,
log,Verb,3,2,"enter into a log, as on ships and planes","cut lumber, as in woods and forests",
nil,Noun,3,1,a quantity of no importance,,
odd,Adjective,3,3,not divisible by two,not easily explained,an indefinite quantity more than that specified
pod,Verb,3,2,take something out of its shell or pod,"produce pods, of plants",
two,Adjective,3,1,being one more than one,,
army,Noun,4,3,a permanent organization of the military land forces of a nation or state,a large number of people united for some specific purpose,the army of the United States of America; the agency that organizes and trains soldiers for land warfare
band,Verb,4,2,"bind or tie together, as with a band","attach a ring to the foot of, in order to identify",
bawl,Verb,4,3,shout loudly and without restraint,make a raucous noise,cry loudly
bell,Verb,4,1,attach a bell to,,
boom,Verb,4,3,"make a resonant sound, like artillery",hit hard,be the case that thunder is being heard
boon,Adjective,4,1,very close and convivial,,
carp,Verb,4,1,raise trivial objections,,
chef,Noun,4,1,a professional cook,,
dial,Verb,4,2,operate a dial to select a telephone number,choose by means of a dial,
does,Verb,4,3,engage in,carry out or perform an action,get (something
down,Adjective,4,3,being or moving lower in position or less in some value,extending or moving from a higher to a lower place,becoming progressively lower
duel,Verb,4,1,"fight a duel, as over one's honor or a woman",,
duet,Noun,4,3,two items of the same kind,two performers or singers who perform together,a pair who associate with one another
emit,Verb,4,3,expel (gases or odors,"give off, send forth, or discharge; as of light, heat, or radiation, vapor, etc.",express audibly; utter sounds (not necessarily words
epic,Adjective,4,2,very imposing or impressive; surpassing the ordinary (especially in size or scale,constituting or having to do with or suggestive of a literary epic,
even,Adjective,4,3,divisible by two,equal in degree or extent or amount; or equally matched or balanced,or even
foil,Verb,4,3,enhance by contrast,"hinder or prevent (the efforts, plans, or desires",cover or back with foil
gene,Noun,4,1,(genetics,,
goal,Noun,4,3,the state of affairs that a plan is intended to achieve and that (when achieved,the place designated as the end (as of a race or journey,game equipment consisting of the place toward which players of a game try to advance a ball or puck in order to score points
hand,Verb,4,2,place into the hands or custody of,guide or conduct or usher somewhere,
hash,Verb,4,1,chop up,,
herd,Verb,4,3,"cause to herd, drive, or crowd together","move together, like a herd","keep, move, or drive animals"
host,Verb,4,1,be the host of or for,,
June,Noun,4,1,the month following May and preceding July,,
keen,Adjective,4,3,having or demonstrating ability to recognize or draw fine distinctions,intense or sharp,very good
kick,Verb,4,3,drive or propel with the foot,thrash about or strike out with the feet,strike with the foot
kith,Noun,4,1,your friends and acquaintances,,
life,Noun,4,3,a characteristic state or mode of living,the experience of being alive; the course of human events and activities,the course of existence of an individual; the actions and events that occur in living
limb,Noun,4,3,one of the jointed appendages of an animal used for locomotion or grasping: arm; leg; wing; flipper,any of the main branches arising from the trunk or a bough of a tree,(astronomy
lots,Verb,4,2,"divide into lots, as of land, for example","administer or bestow, as in small portions",
lure,Verb,4,1,provoke someone to do something through (often false or exaggerated,,
mean,Adjective,4,3,approximating the statistical norm or average or expected value,characterized by malice,having or showing an ignoble lack of honor or morality
menu,Noun,4,3,a list of dishes available at a restaurant,the dishes making up a meal,(computer science
mesa,Noun,4,2,flat tableland with steep edges,a city in Arizona just to the east of Phoenix; originally a suburb of Phoenix,
mode,Noun,4,3,how something is done or how it happens,a particular functioning condition or arrangement,a classification of propositions on the basis of whether they claim necessity or possibility or impossibility
moot,Adjective,4,2,of no legal significance (as having been previously decided,open to argument or debate,
nosh,Verb,4,1,eat a snack; eat lightly,,
note,Verb,4,3,make mention of,notice or perceive,observe with care or pay close attention to
oath,Noun,4,3,profane or obscene expression usually of surprise or anger,a commitment to tell the truth (especially in a court of law,"a solemn promise, usually invoking a divine witness, regarding your future acts or behavior"
onus,Noun,4,1,an onerous or difficult concern,,
ooze,Verb,4,2,pass gradually or leak through or as if through small openings,release (a liquid,
oral,Adjective,4,3,using speech rather than writing,of or relating to or affecting or for use in the mouth,of or involving the mouth or mouth region or the surface on which the mouth is located
pill,Noun,4,3,something that resembles a tablet of medicine in shape or size,a dose of medicine in the form of a small pellet,a unpleasant or tiresome person
polo,Noun,4,2,Venetian traveler who explored Asia in the 13th century and served Kublai Khan (1254-1324,a game similar to field hockey but played on horseback using long-handled mallets and a wooden ball,
punt,Verb,4,3,kick the ball,propel with a pole,place a bet on
rare,Adjective,4,3,not widely known; especially valued for its uncommonness,recurring only at long intervals,not widely distributed
ruff,Verb,4,1,play a trump,,
sect,Noun,4,2,a subdivision of a larger religious group,a dissenting clique,
soon,Adverb,4,1,in the near future,,
stem,Verb,4,3,"grow out of, have roots in, originate in",cause to point inward,stop the flow of a liquid
suet,Noun,4,1,hard fat around the kidneys and loins in beef and sheep,,
tact,Noun,4,1,consideration in dealing with others and avoiding giving offense,,
tofu,Noun,4,1,cheeselike food made of curdled soybean milk,,
twin,Adjective,4,1,being two identical,,
walk,Verb,4,3,use one's feet to advance; advance by steps,accompany or escort,obtain a base on balls
worm,Verb,4,1,"to move in a twisting or contorted motion, (especially when struggling",,
yore,Noun,4,1,time long past,,
zest,Verb,4,1,add herbs or spices to,,
ziti,Noun,4,1,medium-sized tubular pasta in short pieces,,
zulu,Noun,4,3,a member of the tall Negroid people of eastern South Africa; some live in KwaZulu-Natal under the traditional clan system but many now work in the cities,a community of Negroid people in eastern South Africa,a Bantu language of considerable literary importance in southeastern Africa
abate,Verb,5,2,make less active or intense,become less in amount or intensity,
abide,Verb,5,1,put up with something or somebody unpleasant,,
alloy,Verb,5,2,lower in value by increasing the base-metal content,make an alloy of,
aloft,Adverb,5,3,at or on or to the masthead or upper rigging of a ship,upward,at or to great height; high up in or into the air
aorta,Noun,5,1,the large trunk artery that carries blood from the left ventricle of the heart to branch arteries,,
April,Noun,5,1,the month following March and preceding May,,
apron,Noun,5,3,a garment of cloth or leather or plastic that is tied about the waist and worn to protect your clothing,"the part of a modern theater stage between the curtain and the orchestra (i.e., in front of the curtain",a paved surface where aircraft stand while not being used
aspen,Noun,5,1,any of several trees of the genus Populus having leaves on flattened stalks so that they flutter in the lightest wind,,
Atlas,Noun,5,3,(Greek mythology,a collection of maps in book form,the 1st cervical vertebra
audit,Verb,5,2,examine carefully for accuracy with the intent of verification,attend academic courses without getting credit,
awash,Adjective,5,2,covered with water,or awash,
